Ivy Allen , loan_1 , 12000 , 6600.0 , 0.55 , 7
Alfie Harris , loan_3 , 24000 , 15120.0 , 0.63 , 2
Alfie Harris , loan_4 , 24000 , 11040.0 , 0.46 , 9
Alfie Harris , loan_5 , 24000 , 14160.0 , 0.59 , 8
Alfie Harris , loan_6 , 24000 , 15360.0 , 0.64 , 0
Alfie Harris , loan_7 , 24000 , 10800.0 , 0.45 , 1
Alfie Harris , loan_8 , 24000 , 14640.0 , 0.61 , 11
Alfie Harris , loan_9 , 24000 , 11280.0 , 0.47 , 4
Alfie Harris , loan_10 , 24000 , 12000.0 , 0.5 , 4
Alfie Harris , loan_11 , 24000 , 12000.0 , 0.5 , 5
Alfie Harris , loan_12 , 24000 , 13920.0 , 0.58 , 4
Alfie Harris , loan_13 , 24000 , 15600.0 , 0.65 , 14
Alfie Harris , loan_14 , 24000 , 14400.0 , 0.6 , 14
Alfie Harris , loan_15 , 24000 , 14880.0 , 0.62 , 3
Evie Harris , loan_1 , 15000 , 9300.0 , 0.62 , 1
Evie Harris , loan_2 , 15000 , 9150.0 , 0.61 , 3
Evie Harris , loan_3 , 15000 , 8100.0 , 0.54 , 7
Evie Harris , loan_4 , 15000 , 8700.0 , 0.58 , 1
Evie Harris , loan_5 , 15000 , 7050.0 , 0.47 , 2
Evie Harris , loan_6 , 15000 , 6900.0 , 0.46 , 3
Evie Harris , loan_7 , 15000 , 8550.0 , 0.57 , 3
Evie Harris , loan_8 , 15000 , 9600.0 , 0.64 , 6
Evie Harris , loan_9 , 15000 , 8550.0 , 0.57 , 7
Evie Harris , loan_10 , 15000 , 9300.0 , 0.62 , 10
Evie Harris , loan_11 , 15000 , 7350.0 , 0.49 , 15
Evie Harris , loan_12 , 15000 , 7500.0 , 0.5 , 1
Evie Harris , loan_13 , 15000 , 9000.0 , 0.6 , 5
Evie Harris , loan_14 , 15000 , 7500.0 , 0.5 , 7
Evie Harris , loan_15 , 15000 , 7950.0 , 0.53 , 3
Evie Harris , loan_16 , 15000 , 8700.0 , 0.58 , 2
Jack Matthews , loan_1 , 26000 , 9620.0 , 0.37 , 0
Jack Matthews , loan_2 , 26000 , 7020.0 , 0.27 , 2
Jack Matthews , loan_3 , 26000 , 8580.0 , 0.33 , 2
Jack Matthews , loan_4 , 26000 , 5460.0 , 0.21 , 1
Jack Matthews , loan_5 , 26000 , 5460.0 , 0.21 , 1
Jack Matthews , loan_6 , 26000 , 7280.0 , 0.28 , 2
Jack Matthews , loan_7 , 26000 , 6240.0 , 0.24 , 0
Jack Matthews , loan_8 , 26000 , 8580.0 , 0.33 , 1
Jack Matthews , loan_9 , 26000 , 9880.0 , 0.38 , 1
Jack Matthews , loan_10 , 26000 , 8580.0 , 0.33 , 1
Jack Matthews , loan_11 , 26000 , 8580.0 , 0.33 , 1
Jack Matthews , loan_12 , 26000 , 9620.0 , 0.37 , 4
Jack Matthews , loan_13 , 26000 , 8060.0 , 0.31 , 0
Jack Matthews , loan_14 , 26000 , 7540.0 , 0.29 , 3
Jack Matthews , loan_15 , 26000 , 8840.0 , 0.34 , 1
Jack Matthews , loan_16 , 26000 , 5200.0 , 0.2 , 5
Lily Foster , loan_1 , 32000 , 13440.0 , 0.42 , 7
Lily Foster , loan_2 , 32000 , 15040.0 , 0.47 , 1
Lily Foster , loan_3 , 32000 , 15040.0 , 0.47 , 3
Lily Foster , loan_4 , 32000 , 12800.0 , 0.4 , 5
Lily Foster , loan_5 , 32000 , 15040.0 , 0.47 , 4
Lily Foster , loan_6 , 32000 , 16960.0 , 0.53 , 4
Lily Foster , loan_7 , 32000 , 14080.0 , 0.44 , 11
Lily Foster , loan_8 , 32000 , 13760.0 , 0.43 , 4
Lily Foster , loan_9 , 32000 , 14720.0 , 0.46 , 3
Lily Foster , loan_10 , 32000 , 15040.0 , 0.47 , 2
Lily Foster , loan_11 , 32000 , 11520.0 , 0.36 , 1
Lily Foster , loan_12 , 32000 , 13440.0 , 0.42 , 5
Lily Foster , loan_13 , 32000 , 11520.0 , 0.36 , 6
Lily Foster , loan_14 , 32000 , 15680.0 , 0.49 , 5
Lily Foster , loan_15 , 32000 , 14080.0 , 0.44 , 2
Arlo Allen , loan_1 , 39000 , 19110.0 , 0.49 , 1
Arlo Allen , loan_2 , 39000 , 24570.0 , 0.63 , 9
Arlo Allen , loan_3 , 39000 , 25350.0 , 0.65 , 3
Arlo Allen , loan_4 , 39000 , 20280.0 , 0.52 , 2
Arlo Allen , loan_5 , 39000 , 20670.0 , 0.53 , 6
Arlo Allen , loan_6 , 39000 , 18330.0 , 0.47 , 11
Arlo Allen , loan_7 , 39000 , 19110.0 , 0.49 , 10
Arlo Allen , loan_8 , 39000 , 23790.0 , 0.61 , 7
Arlo Allen , loan_9 , 39000 , 23790.0 , 0.61 , 9
Arlo Allen , loan_10 , 39000 , 19110.0 , 0.49 , 8
Arlo Allen , loan_11 , 39000 , 24570.0 , 0.63 , 8
Arlo Allen , loan_12 , 39000 , 23010.0 , 0.59 , 3
Arlo Allen , loan_13 , 39000 , 18330.0 , 0.47 , 4
Arlo Allen , loan_14 , 39000 , 23790.0 , 0.61 , 6
Arlo Allen , loan_15 , 39000 , 24960.0 , 0.64 , 6
Isabella Matthews , loan_1 , 39000 , 17550.0 , 0.45 , 2
Isabella Matthews , loan_2 , 39000 , 19500.0 , 0.5 , 0
Isabella Matthews , loan_3 , 39000 , 16380.0 , 0.42 , 9
Isabella Matthews , loan_4 , 39000 , 16380.0 , 0.42 , 4
Isabella Matthews , loan_5 , 39000 , 16770.0 , 0.43 , 5
Isabella Matthews , loan_6 , 39000 , 20280.0 , 0.52 , 6
Isabella Matthews , loan_7 , 39000 , 14820.0 , 0.38 , 5
Isabella Matthews , loan_8 , 39000 , 21060.0 , 0.54 , 1
Isabella Matthews , loan_9 , 39000 , 15600.0 , 0.4 , 12
Isabella Matthews , loan_10 , 39000 , 14040.0 , 0.36 , 1
Isabella Matthews , loan_11 , 39000 , 17550.0 , 0.45 , 7
Isabella Matthews , loan_12 , 39000 , 20280.0 , 0.52 , 3
Isabella Matthews , loan_13 , 39000 , 14430.0 , 0.37 , 1
Isabella Matthews , loan_14 , 39000 , 18720.0 , 0.48 , 5
Isabella Matthews , loan_15 , 39000 , 15600.0 , 0.4 , 5
Muhammad Wilson , loan_1 , 14000 , 8400.0 , 0.6 , 2
Muhammad Wilson , loan_2 , 14000 , 7420.0 , 0.53 , 7
Muhammad Wilson , loan_3 , 14000 , 8960.0 , 0.64 , 16
Muhammad Wilson , loan_4 , 14000 , 8120.0 , 0.58 , 3
Muhammad Wilson , loan_5 , 14000 , 9100.0 , 0.65 , 4
Muhammad Wilson , loan_6 , 14000 , 7840.0 , 0.56 , 11
Muhammad Wilson , loan_7 , 14000 , 8540.0 , 0.61 , 4
Muhammad Wilson , loan_8 , 14000 , 9100.0 , 0.65 , 9
Muhammad Wilson , loan_9 , 14000 , 7280.0 , 0.52 , 1
Muhammad Wilson , loan_10 , 14000 , 8260.0 , 0.59 , 8
Muhammad Wilson , loan_11 , 14000 , 6860.0 , 0.49 , 5
Muhammad Wilson , loan_12 , 14000 , 6860.0 , 0.49 , 5
Muhammad Wilson , loan_13 , 14000 , 6440.0 , 0.46 , 3
Muhammad Wilson , loan_14 , 14000 , 7000.0 , 0.5 , 6
Muhammad Wilson , loan_15 , 14000 , 6580.0 , 0.47 , 5
Muhammad Wilson , loan_16 , 14000 , 7140.0 , 0.51 , 5
Muhammad Wilson , loan_17 , 14000 , 6860.0 , 0.49 , 1
George Lewis , loan_1 , 25000 , 12500.0 , 0.5 , 4
George Lewis , loan_2 , 25000 , 11500.0 , 0.46 , 1
George Lewis , loan_3 , 25000 , 12250.0 , 0.49 , 2
George Lewis , loan_4 , 25000 , 10500.0 , 0.42 , 6
George Lewis , loan_5 , 25000 , 10000.0 , 0.4 , 7
George Lewis , loan_6 , 25000 , 11750.0 , 0.47 , 2
George Lewis , loan_7 , 25000 , 9250.0 , 0.37 , 1
George Lewis , loan_8 , 25000 , 12750.0 , 0.51 , 1
George Lewis , loan_9 , 25000 , 10750.0 , 0.43 , 0
George Lewis , loan_10 , 25000 , 9750.0 , 0.39 , 1
George Lewis , loan_11 , 25000 , 12750.0 , 0.51 , 0
George Lewis , loan_12 , 25000 , 9500.0 , 0.38 , 5
George Lewis , loan_13 , 25000 , 12000.0 , 0.48 , 5
George Lewis , loan_14 , 25000 , 12750.0 , 0.51 , 3
George Lewis , loan_15 , 25000 , 13000.0 , 0.52 , 3
George Lewis , loan_16 , 25000 , 9250.0 , 0.37 , 3
George Lewis , loan_17 , 25000 , 12000.0 , 0.48 , 2
George Lewis , loan_18 , 25000 , 12250.0 , 0.49 , 0
Freya Lewis , loan_1 , 21000 , 4620.0 , 0.22 , 0
Freya Lewis , loan_2 , 21000 , 6300.0 , 0.3 , 2
Freya Lewis , loan_3 , 21000 , 6510.0 , 0.31 , 0
Freya Lewis , loan_4 , 21000 , 5250.0 , 0.25 , 3
Freya Lewis , loan_5 , 21000 , 7140.0 , 0.34 , 0
Freya Lewis , loan_6 , 21000 , 5880.0 , 0.28 , 2
Freya Lewis , loan_7 , 21000 , 4410.0 , 0.21 , 0
Freya Lewis , loan_8 , 21000 , 4200.0 , 0.2 , 0
Freya Lewis , loan_9 , 21000 , 7560.0 , 0.36 , 3
Freya Lewis , loan_10 , 21000 , 4410.0 , 0.21 , 3
Freya Lewis , loan_11 , 21000 , 4620.0 , 0.22 , 0
Freya Lewis , loan_12 , 21000 , 7350.0 , 0.35 , 3
Freya Lewis , loan_13 , 21000 , 4620.0 , 0.22 , 1
Freya Lewis , loan_14 , 21000 , 5250.0 , 0.25 , 1
Freya Lewis , loan_15 , 21000 , 6930.0 , 0.33 , 1
Freya Lewis , loan_16 , 21000 , 4830.0 , 0.23 , 0
Freya Lewis , loan_17 , 21000 , 5670.0 , 0.27 , 2
Freya Lewis , loan_18 , 21000 , 4620.0 , 0.22 , 3
Freya Lewis , loan_19 , 21000 , 7770.0 , 0.37 , 1
Ivy Chapman , loan_1 , 36000 , 16200.0 , 0.45 , 4
Ivy Chapman , loan_2 , 36000 , 12600.0 , 0.35 , 1
Ivy Chapman , loan_3 , 36000 , 18720.0 , 0.52 , 9
Ivy Chapman , loan_4 , 36000 , 19080.0 , 0.53 , 2
Ivy Chapman , loan_5 , 36000 , 13320.0 , 0.37 , 2
Ivy Chapman , loan_6 , 36000 , 14040.0 , 0.39 , 3
Ivy Chapman , loan_7 , 36000 , 19440.0 , 0.54 , 2
Ivy Chapman , loan_8 , 36000 , 12960.0 , 0.36 , 1
Ivy Chapman , loan_9 , 36000 , 12600.0 , 0.35 , 4
Ivy Chapman , loan_10 , 36000 , 14760.0 , 0.41 , 5
Ivy Chapman , loan_11 , 36000 , 15480.0 , 0.43 , 0
Ivy Chapman , loan_12 , 36000 , 17640.0 , 0.49 , 7
Ivy Chapman , loan_13 , 36000 , 14040.0 , 0.39 , 5
Finley Baker , loan_1 , 37000 , 15540.0 , 0.42 , 0
Finley Baker , loan_2 , 37000 , 18130.0 , 0.49 , 2
Finley Baker , loan_3 , 37000 , 16280.0 , 0.44 , 1
Finley Baker , loan_4 , 37000 , 19240.0 , 0.52 , 2
Finley Baker , loan_5 , 37000 , 15170.0 , 0.41 , 2
Finley Baker , loan_6 , 37000 , 13690.0 , 0.37 , 5
Finley Baker , loan_7 , 37000 , 16650.0 , 0.45 , 4
Finley Baker , loan_8 , 37000 , 15910.0 , 0.43 , 1
Finley Baker , loan_9 , 37000 , 17760.0 , 0.48 , 5
Finley Baker , loan_10 , 37000 , 20350.0 , 0.55 , 3
Finley Baker , loan_11 , 37000 , 12950.0 , 0.35 , 2
Finley Baker , loan_12 , 37000 , 14430.0 , 0.39 , 1
Finley Baker , loan_13 , 37000 , 15910.0 , 0.43 , 2
Finley Baker , loan_14 , 37000 , 17760.0 , 0.48 , 4
Finley Baker , loan_15 , 37000 , 18870.0 , 0.51 , 4
Finley Baker , loan_16 , 37000 , 14060.0 , 0.38 , 5
Finley Baker , loan_17 , 37000 , 15170.0 , 0.41 , 0
Finley Baker , loan_18 , 37000 , 18130.0 , 0.49 , 2
Finley Baker , loan_19 , 37000 , 14060.0 , 0.38 , 4
Finley Baker , loan_20 , 37000 , 15170.0 , 0.41 , 5
Theodore Allen , loan_1 , 22000 , 13640.0 , 0.62 , 6
Theodore Allen , loan_2 , 22000 , 13860.0 , 0.63 , 5
Theodore Allen , loan_3 , 22000 , 12540.0 , 0.57 , 5
Theodore Allen , loan_4 , 22000 , 11660.0 , 0.53 , 1
Theodore Allen , loan_5 , 22000 , 11660.0 , 0.53 , 6
Theodore Allen , loan_6 , 22000 , 13640.0 , 0.62 , 5
Theodore Allen , loan_7 , 22000 , 13420.0 , 0.61 , 7
Theodore Allen , loan_8 , 22000 , 11440.0 , 0.52 , 7
Theodore Allen , loan_9 , 22000 , 12980.0 , 0.59 , 2
Theodore Allen , loan_10 , 22000 , 12540.0 , 0.57 , 6
Theodore Allen , loan_11 , 22000 , 12540.0 , 0.57 , 3
Theodore Allen , loan_12 , 22000 , 11880.0 , 0.54 , 3
Theodore Allen , loan_13 , 22000 , 14080.0 , 0.64 , 6
Theodore Allen , loan_14 , 22000 , 13200.0 , 0.6 , 8
Theodore Allen , loan_15 , 22000 , 13200.0 , 0.6 , 4
Arthur Robinson , loan_1 , 32000 , 8320.0 , 0.26 , 1
Arthur Robinson , loan_2 , 32000 , 9920.0 , 0.31 , 2
Arthur Robinson , loan_3 , 32000 , 7040.0 , 0.22 , 0
Arthur Robinson , loan_4 , 32000 , 9280.0 , 0.29 , 1
Arthur Robinson , loan_5 , 32000 , 10880.0 , 0.34 , 0
Arthur Robinson , loan_6 , 32000 , 8640.0 , 0.27 , 0
Arthur Robinson , loan_7 , 32000 , 10240.0 , 0.32 , 0
Arthur Robinson , loan_8 , 32000 , 12160.0 , 0.38 , 3
Arthur Robinson , loan_9 , 32000 , 8960.0 , 0.28 , 5
Arthur Robinson , loan_10 , 32000 , 6720.0 , 0.21 , 0
Arthur Robinson , loan_11 , 32000 , 10880.0 , 0.34 , 1
Arthur Robinson , loan_12 , 32000 , 11840.0 , 0.37 , 2
Arthur Robinson , loan_13 , 32000 , 11520.0 , 0.36 , 3
Arthur Robinson , loan_14 , 32000 , 11840.0 , 0.37 , 0
Arthur Robinson , loan_15 , 32000 , 9280.0 , 0.29 , 1
Arthur Robinson , loan_16 , 32000 , 6400.0 , 0.2 , 1
Arthur Robinson , loan_17 , 32000 , 12480.0 , 0.39 , 0
Arthur Robinson , loan_18 , 32000 , 7360.0 , 0.23 , 2
Arthur Robinson , loan_19 , 32000 , 9600.0 , 0.3 , 2
Theo Stevens , loan_1 , 34000 , 15980.0 , 0.47 , 4
Theo Stevens , loan_2 , 34000 , 19720.0 , 0.58 , 5
Theo Stevens , loan_3 , 34000 , 20740.0 , 0.61 , 15
Theo Stevens , loan_4 , 34000 , 17000.0 , 0.5 , 5
Theo Stevens , loan_5 , 34000 , 18700.0 , 0.55 , 1
Theo Stevens , loan_6 , 34000 , 16320.0 , 0.48 , 0
Theo Stevens , loan_7 , 34000 , 21080.0 , 0.62 , 2
Theo Stevens , loan_8 , 34000 , 17000.0 , 0.5 , 4
Theo Stevens , loan_9 , 34000 , 18360.0 , 0.54 , 3
Theo Stevens , loan_10 , 34000 , 20400.0 , 0.6 , 3
Theo Stevens , loan_11 , 34000 , 20400.0 , 0.6 , 2
Theo Stevens , loan_12 , 34000 , 22100.0 , 0.65 , 7
Theo Stevens , loan_13 , 34000 , 19380.0 , 0.57 , 4
Theo Stevens , loan_14 , 34000 , 17000.0 , 0.5 , 6
Theo Stevens , loan_15 , 34000 , 19720.0 , 0.58 , 6
Theo Stevens , loan_16 , 34000 , 15300.0 , 0.45 , 2
Theo Stevens , loan_17 , 34000 , 20060.0 , 0.59 , 6
Henry Lewis , loan_1 , 20000 , 9200.0 , 0.46 , 2
Henry Lewis , loan_2 , 20000 , 12600.0 , 0.63 , 11
Henry Lewis , loan_3 , 20000 , 11600.0 , 0.58 , 6
Henry Lewis , loan_4 , 20000 , 10600.0 , 0.53 , 5
Henry Lewis , loan_5 , 20000 , 10400.0 , 0.52 , 3
Henry Lewis , loan_6 , 20000 , 10600.0 , 0.53 , 6
Henry Lewis , loan_7 , 20000 , 9400.0 , 0.47 , 4
Henry Lewis , loan_8 , 20000 , 10000.0 , 0.5 , 1
Henry Lewis , loan_9 , 20000 , 11200.0 , 0.56 , 3
Henry Lewis , loan_10 , 20000 , 11800.0 , 0.59 , 8
Henry Lewis , loan_11 , 20000 , 9800.0 , 0.49 , 10
Henry Lewis , loan_12 , 20000 , 12600.0 , 0.63 , 1
Henry Lewis , loan_13 , 20000 , 11200.0 , 0.56 , 0
Henry Lewis , loan_14 , 20000 , 9000.0 , 0.45 , 3
Henry Lewis , loan_15 , 20000 , 12000.0 , 0.6 , 6
Henry Lewis , loan_16 , 20000 , 11800.0 , 0.59 , 6
Henry Lewis , loan_17 , 20000 , 11400.0 , 0.57 , 8
Charlie Owen , loan_1 , 51000 , 30090.0 , 0.59 , 2
Charlie Owen , loan_2 , 51000 , 33150.0 , 0.65 , 7
Charlie Owen , loan_3 , 51000 , 28560.0 , 0.56 , 0
Charlie Owen , loan_4 , 51000 , 32640.0 , 0.64 , 0
Charlie Owen , loan_5 , 51000 , 31620.0 , 0.62 , 3
Charlie Owen , loan_6 , 51000 , 28560.0 , 0.56 , 13
Charlie Owen , loan_7 , 51000 , 31110.0 , 0.61 , 1
Charlie Owen , loan_8 , 51000 , 27030.0 , 0.53 , 1
Charlie Owen , loan_9 , 51000 , 29070.0 , 0.57 , 1
Charlie Owen , loan_10 , 51000 , 28050.0 , 0.55 , 1
Charlie Owen , loan_11 , 51000 , 31110.0 , 0.61 , 4
Charlie Owen , loan_12 , 51000 , 22950.0 , 0.45 , 5
Charlie Owen , loan_13 , 51000 , 25500.0 , 0.5 , 1
Charlie Owen , loan_14 , 51000 , 24990.0 , 0.49 , 3
Charlie Owen , loan_15 , 51000 , 23460.0 , 0.46 , 6
Charlie Owen , loan_16 , 51000 , 23460.0 , 0.46 , 1
Charlie Owen , loan_17 , 51000 , 29070.0 , 0.57 , 6
Charlie Owen , loan_18 , 51000 , 28050.0 , 0.55 , 1
Charlie Owen , loan_19 , 51000 , 26520.0 , 0.52 , 5
Evelyn Adams , loan_1 , 47000 , 26320.0 , 0.56 , 2
Evelyn Adams , loan_2 , 47000 , 22560.0 , 0.48 , 6
Evelyn Adams , loan_3 , 47000 , 28670.0 , 0.61 , 4
Evelyn Adams , loan_4 , 47000 , 23500.0 , 0.5 , 4
Evelyn Adams , loan_5 , 47000 , 26320.0 , 0.56 , 1
Evelyn Adams , loan_6 , 47000 , 23500.0 , 0.5 , 3
Evelyn Adams , loan_7 , 47000 , 28670.0 , 0.61 , 15
Evelyn Adams , loan_8 , 47000 , 21620.0 , 0.46 , 5
Evelyn Adams , loan_9 , 47000 , 29610.0 , 0.63 , 1
Evelyn Adams , loan_10 , 47000 , 24910.0 , 0.53 , 0
Evelyn Adams , loan_11 , 47000 , 26320.0 , 0.56 , 3
Evelyn Adams , loan_12 , 47000 , 28200.0 , 0.6 , 9
Evelyn Adams , loan_13 , 47000 , 30550.0 , 0.65 , 5
Evelyn Adams , loan_14 , 47000 , 27730.0 , 0.59 , 1
Evelyn Adams , loan_15 , 47000 , 22090.0 , 0.47 , 4
Evelyn Adams , loan_16 , 47000 , 29610.0 , 0.63 , 7
Evelyn Adams , loan_17 , 47000 , 23500.0 , 0.5 , 4
Isaac Owen , loan_1 , 49000 , 11270.0 , 0.23 , 1
Isaac Owen , loan_2 , 49000 , 15190.0 , 0.31 , 2
Isaac Owen , loan_3 , 49000 , 11760.0 , 0.24 , 1
Isaac Owen , loan_4 , 49000 , 13230.0 , 0.27 , 0
Isaac Owen , loan_5 , 49000 , 13720.0 , 0.28 , 1
Isaac Owen , loan_6 , 49000 , 17640.0 , 0.36 , 1
Isaac Owen , loan_7 , 49000 , 19110.0 , 0.39 , 1
Isaac Owen , loan_8 , 49000 , 15190.0 , 0.31 , 0
Isaac Owen , loan_9 , 49000 , 18620.0 , 0.38 , 1
Isaac Owen , loan_10 , 49000 , 18620.0 , 0.38 , 0
Isaac Owen , loan_11 , 49000 , 13720.0 , 0.28 , 2
Isaac Owen , loan_12 , 49000 , 16170.0 , 0.33 , 0
Isaac Owen , loan_13 , 49000 , 15190.0 , 0.31 , 1
Isaac Owen , loan_14 , 49000 , 11760.0 , 0.24 , 2
Isaac Owen , loan_15 , 49000 , 18620.0 , 0.38 , 2
Isaac Owen , loan_16 , 49000 , 17150.0 , 0.35 , 0
Isaac Owen , loan_17 , 49000 , 14210.0 , 0.29 , 1
Oscar Stevens , loan_1 , 56000 , 30800.0 , 0.55 , 10
Oscar Stevens , loan_2 , 56000 , 34160.0 , 0.61 , 4
Oscar Stevens , loan_3 , 56000 , 25200.0 , 0.45 , 6
Oscar Stevens , loan_4 , 56000 , 30800.0 , 0.55 , 4
Oscar Stevens , loan_5 , 56000 , 30240.0 , 0.54 , 3
Oscar Stevens , loan_6 , 56000 , 25200.0 , 0.45 , 4
Oscar Stevens , loan_7 , 56000 , 28000.0 , 0.5 , 4
Oscar Stevens , loan_8 , 56000 , 34720.0 , 0.62 , 2
Oscar Stevens , loan_9 , 56000 , 33040.0 , 0.59 , 9
Oscar Stevens , loan_10 , 56000 , 35280.0 , 0.63 , 4
Oscar Stevens , loan_11 , 56000 , 33600.0 , 0.6 , 4
Oscar Stevens , loan_12 , 56000 , 35280.0 , 0.63 , 6
Oscar Stevens , loan_13 , 56000 , 25200.0 , 0.45 , 2
Oscar Stevens , loan_14 , 56000 , 31920.0 , 0.57 , 8
Ella White , loan_1 , 50000 , 16000.0 , 0.32 , 0
Ella White , loan_2 , 50000 , 16500.0 , 0.33 , 0
Ella White , loan_3 , 50000 , 17500.0 , 0.35 , 4
Ella White , loan_4 , 50000 , 18500.0 , 0.37 , 2
Ella White , loan_5 , 50000 , 15500.0 , 0.31 , 0
Ella White , loan_6 , 50000 , 20000.0 , 0.4 , 0
Ella White , loan_7 , 50000 , 18500.0 , 0.37 , 2
Ella White , loan_8 , 50000 , 11500.0 , 0.23 , 0
Ella White , loan_9 , 50000 , 16500.0 , 0.33 , 2
Ella White , loan_10 , 50000 , 18000.0 , 0.36 , 1
Ella White , loan_11 , 50000 , 11000.0 , 0.22 , 0
Ella White , loan_12 , 50000 , 13500.0 , 0.27 , 1
Ella White , loan_13 , 50000 , 20000.0 , 0.4 , 0
Ella White , loan_14 , 50000 , 17000.0 , 0.34 , 0
Ella White , loan_15 , 50000 , 11000.0 , 0.22 , 1
Ella White , loan_16 , 50000 , 10500.0 , 0.21 , 0
Ella White , loan_17 , 50000 , 12500.0 , 0.25 , 0
Ella White , loan_18 , 50000 , 13500.0 , 0.27 , 1
Grace Adams , loan_1 , 42000 , 13440.0 , 0.32 , 2
Grace Adams , loan_2 , 42000 , 14280.0 , 0.34 , 3
Grace Adams , loan_3 , 42000 , 10080.0 , 0.24 , 0
Grace Adams , loan_4 , 42000 , 9240.0 , 0.22 , 2
Grace Adams , loan_5 , 42000 , 16800.0 , 0.4 , 1
Grace Adams , loan_6 , 42000 , 12600.0 , 0.3 , 1
Grace Adams , loan_7 , 42000 , 8400.0 , 0.2 , 0
Grace Adams , loan_8 , 42000 , 12600.0 , 0.3 , 2
Grace Adams , loan_9 , 42000 , 15120.0 , 0.36 , 0
Grace Adams , loan_10 , 42000 , 16800.0 , 0.4 , 0
Grace Adams , loan_11 , 42000 , 14700.0 , 0.35 , 2
Grace Adams , loan_12 , 42000 , 11340.0 , 0.27 , 1
Grace Adams , loan_13 , 42000 , 15960.0 , 0.38 , 0
Grace Adams , loan_14 , 42000 , 9660.0 , 0.23 , 0
Grace Adams , loan_15 , 42000 , 15540.0 , 0.37 , 0
Grace Adams , loan_16 , 42000 , 8400.0 , 0.2 , 1
Grace Adams , loan_17 , 42000 , 12180.0 , 0.29 , 1
Grace Adams , loan_18 , 42000 , 13020.0 , 0.31 , 1
Grace Adams , loan_19 , 42000 , 10080.0 , 0.24 , 1
Grace Adams , loan_20 , 42000 , 15540.0 , 0.37 , 1
George Stevens , loan_1 , 68000 , 24480.0 , 0.36 , 1
George Stevens , loan_2 , 68000 , 18360.0 , 0.27 , 0
George Stevens , loan_3 , 68000 , 19040.0 , 0.28 , 1
George Stevens , loan_4 , 68000 , 25160.0 , 0.37 , 3
George Stevens , loan_5 , 68000 , 16320.0 , 0.24 , 0
George Stevens , loan_6 , 68000 , 17680.0 , 0.26 , 0
George Stevens , loan_7 , 68000 , 21080.0 , 0.31 , 1
George Stevens , loan_8 , 68000 , 25840.0 , 0.38 , 0
George Stevens , loan_9 , 68000 , 25840.0 , 0.38 , 2
George Stevens , loan_10 , 68000 , 23800.0 , 0.35 , 0
George Stevens , loan_11 , 68000 , 17680.0 , 0.26 , 0
George Stevens , loan_12 , 68000 , 17000.0 , 0.25 , 0
George Stevens , loan_13 , 68000 , 24480.0 , 0.36 , 0
George Stevens , loan_14 , 68000 , 21760.0 , 0.32 , 0
George Stevens , loan_15 , 68000 , 19040.0 , 0.28 , 2
George Stevens , loan_16 , 68000 , 18360.0 , 0.27 , 0
George Stevens , loan_17 , 68000 , 19720.0 , 0.29 , 0
George Stevens , loan_18 , 68000 , 23800.0 , 0.35 , 1
George Black , loan_1 , 42000 , 23520.0 , 0.56 , 5
George Black , loan_2 , 42000 , 20580.0 , 0.49 , 2
George Black , loan_3 , 42000 , 21840.0 , 0.52 , 2
George Black , loan_4 , 42000 , 24360.0 , 0.58 , 5
George Black , loan_5 , 42000 , 27300.0 , 0.65 , 8
George Black , loan_6 , 42000 , 21000.0 , 0.5 , 1
George Black , loan_7 , 42000 , 24780.0 , 0.59 , 6
George Black , loan_8 , 42000 , 27300.0 , 0.65 , 4
George Black , loan_9 , 42000 , 25620.0 , 0.61 , 2
George Black , loan_10 , 42000 , 25620.0 , 0.61 , 3
George Black , loan_11 , 42000 , 27300.0 , 0.65 , 2
George Black , loan_12 , 42000 , 26460.0 , 0.63 , 9
George Black , loan_13 , 42000 , 24360.0 , 0.58 , 13
George Black , loan_14 , 42000 , 26040.0 , 0.62 , 1
George Black , loan_15 , 42000 , 18900.0 , 0.45 , 8
Arlo Webb , loan_1 , 40000 , 18800.0 , 0.47 , 1
Arlo Webb , loan_2 , 40000 , 19200.0 , 0.48 , 5
Arlo Webb , loan_3 , 40000 , 17200.0 , 0.43 , 4
Arlo Webb , loan_4 , 40000 , 14400.0 , 0.36 , 6
Arlo Webb , loan_5 , 40000 , 19200.0 , 0.48 , 6
Arlo Webb , loan_6 , 40000 , 20800.0 , 0.52 , 1
Arlo Webb , loan_7 , 40000 , 20800.0 , 0.52 , 1
Arlo Webb , loan_8 , 40000 , 14000.0 , 0.35 , 0
Arlo Webb , loan_9 , 40000 , 14400.0 , 0.36 , 2
Arlo Webb , loan_10 , 40000 , 18800.0 , 0.47 , 5
Arlo Webb , loan_11 , 40000 , 16400.0 , 0.41 , 4
Arlo Webb , loan_12 , 40000 , 19200.0 , 0.48 , 0
Arlo Webb , loan_13 , 40000 , 22000.0 , 0.55 , 9
Arlo Webb , loan_14 , 40000 , 17200.0 , 0.43 , 1
Arlo Webb , loan_15 , 40000 , 16800.0 , 0.42 , 2
Arlo Webb , loan_16 , 40000 , 20000.0 , 0.5 , 4
Evie Matthews , loan_1 , 61000 , 29890.0 , 0.49 , 1
Evie Matthews , loan_2 , 61000 , 29280.0 , 0.48 , 1
Evie Matthews , loan_3 , 61000 , 25010.0 , 0.41 , 1
Evie Matthews , loan_4 , 61000 , 21350.0 , 0.35 , 4
