Ivy Allen , loan_1 , 12000 , 39600 , 3.3 , 7
Evie Harris , loan_13 , 15000 , 90000 , 6.0 , 5
Evie Harris , loan_14 , 15000 , 90000 , 6.0 , 7
Evie Harris , loan_15 , 15000 , 71550 , 4.77 , 3
Evie Harris , loan_16 , 15000 , 69600 , 4.64 , 2
Jack Matthews , loan_1 , 26000 , 86580 , 3.33 , 0
Jack Matthews , loan_2 , 26000 , 56160 , 2.16 , 2
Jack Matthews , loan_3 , 26000 , 85800 , 3.3 , 2
Jack Matthews , loan_4 , 26000 , 65520 , 2.52 , 1
Jack Matthews , loan_5 , 26000 , 27300 , 1.05 , 1
Jack Matthews , loan_6 , 26000 , 50960 , 1.96 , 2
Jack Matthews , loan_7 , 26000 , 68640 , 2.64 , 0
Jack Matthews , loan_8 , 26000 , 94380 , 3.63 , 1
Jack Matthews , loan_9 , 26000 , 59280 , 2.28 , 1
Jack Matthews , loan_10 , 26000 , 68640 , 2.64 , 1
Jack Matthews , loan_11 , 26000 , 34320 , 1.32 , 1
Jack Matthews , loan_12 , 26000 , 105820 , 4.07 , 4
Jack Matthews , loan_13 , 26000 , 72540 , 2.79 , 0
Jack Matthews , loan_14 , 26000 , 82940 , 3.19 , 3
Jack Matthews , loan_15 , 26000 , 44200 , 1.7 , 1
Jack Matthews , loan_16 , 26000 , 62400 , 2.4 , 5
Lily Foster , loan_1 , 32000 , 161280 , 5.04 , 7
Lily Foster , loan_2 , 32000 , 90240 , 2.82 , 1
Lily Foster , loan_3 , 32000 , 75200 , 2.35 , 3
Lily Foster , loan_4 , 32000 , 140800 , 4.4 , 5
Lily Foster , loan_5 , 32000 , 165440 , 5.17 , 4
Lily Foster , loan_6 , 32000 , 169600 , 5.3 , 4
Lily Foster , loan_7 , 32000 , 154880 , 4.84 , 11
Lily Foster , loan_8 , 32000 , 165120 , 5.16 , 4
Lily Foster , loan_9 , 32000 , 58880 , 1.84 , 3
Lily Foster , loan_10 , 32000 , 135360 , 4.23 , 2
Lily Foster , loan_11 , 32000 , 57600 , 1.8 , 1
Lily Foster , loan_12 , 32000 , 147840 , 4.62 , 5
Lily Foster , loan_13 , 32000 , 126720 , 3.96 , 6
Lily Foster , loan_14 , 32000 , 125440 , 3.92 , 5
Lily Foster , loan_15 , 32000 , 140800 , 4.4 , 2
Arlo Allen , loan_1 , 39000 , 210210 , 5.39 , 1
Arlo Allen , loan_2 , 39000 , 270270 , 6.93 , 9
Arlo Allen , loan_3 , 39000 , 126750 , 3.25 , 3
Arlo Allen , loan_4 , 39000 , 81120 , 2.08 , 2
Arlo Allen , loan_5 , 39000 , 186030 , 4.77 , 6
Arlo Allen , loan_6 , 39000 , 183300 , 4.7 , 11
Arlo Allen , loan_7 , 39000 , 210210 , 5.39 , 10
Arlo Allen , loan_8 , 39000 , 237900 , 6.1 , 7
Arlo Allen , loan_9 , 39000 , 190320 , 4.88 , 9
Arlo Allen , loan_10 , 39000 , 152880 , 3.92 , 8
Arlo Allen , loan_11 , 39000 , 196560 , 5.04 , 8
Arlo Allen , loan_12 , 39000 , 92040 , 2.36 , 3
Arlo Allen , loan_13 , 39000 , 183300 , 4.7 , 4
Arlo Allen , loan_14 , 39000 , 237900 , 6.1 , 6
Arlo Allen , loan_15 , 39000 , 299520 , 7.68 , 6
Isabella Matthews , loan_1 , 39000 , 105300 , 2.7 , 2
Isabella Matthews , loan_2 , 39000 , 117000 , 3.0 , 0
Isabella Matthews , loan_3 , 39000 , 98280 , 2.52 , 9
Isabella Matthews , loan_4 , 39000 , 131040 , 3.36 , 4
Isabella Matthews , loan_5 , 39000 , 117390 , 3.01 , 5
Isabella Matthews , loan_6 , 39000 , 162240 , 4.16 , 6
Isabella Matthews , loan_7 , 39000 , 148200 , 3.8 , 5
Isabella Matthews , loan_8 , 39000 , 105300 , 2.7 , 1
Isabella Matthews , loan_9 , 39000 , 171600 , 4.4 , 12
Isabella Matthews , loan_10 , 39000 , 112320 , 2.88 , 1
Isabella Matthews , loan_11 , 39000 , 157950 , 4.05 , 7
Isabella Matthews , loan_12 , 39000 , 162240 , 4.16 , 3
Isabella Matthews , loan_13 , 39000 , 115440 , 2.96 , 1
Isabella Matthews , loan_14 , 39000 , 205920 , 5.28 , 5
Isabella Matthews , loan_15 , 39000 , 187200 , 4.8 , 5
Muhammad Wilson , loan_1 , 14000 , 33600 , 2.4 , 2
Muhammad Wilson , loan_2 , 14000 , 81620 , 5.83 , 7
Muhammad Wilson , loan_3 , 14000 , 62720 , 4.48 , 16
Muhammad Wilson , loan_4 , 14000 , 32480 , 2.32 , 3
Muhammad Wilson , loan_5 , 14000 , 100100 , 7.15 , 4
Muhammad Wilson , loan_6 , 14000 , 78400 , 5.6 , 11
Muhammad Wilson , loan_7 , 14000 , 42700 , 3.05 , 4
Muhammad Wilson , loan_8 , 14000 , 63700 , 4.55 , 9
Muhammad Wilson , loan_9 , 14000 , 29120 , 2.08 , 1
Muhammad Wilson , loan_10 , 14000 , 90860 , 6.49 , 8
Muhammad Wilson , loan_11 , 14000 , 54880 , 3.92 , 5
Muhammad Wilson , loan_12 , 14000 , 41160 , 2.94 , 5
Muhammad Wilson , loan_13 , 14000 , 32200 , 2.3 , 3
Muhammad Wilson , loan_14 , 14000 , 77000 , 5.5 , 6
Muhammad Wilson , loan_15 , 14000 , 65800 , 4.7 , 5
Muhammad Wilson , loan_16 , 14000 , 64260 , 4.59 , 5
Muhammad Wilson , loan_17 , 14000 , 27440 , 1.96 , 1
George Lewis , loan_1 , 25000 , 100000 , 4.0 , 4
George Lewis , loan_2 , 25000 , 92000 , 3.68 , 1
George Lewis , loan_3 , 25000 , 122500 , 4.9 , 2
George Lewis , loan_4 , 25000 , 126000 , 5.04 , 6
George Lewis , loan_5 , 25000 , 80000 , 3.2 , 7
George Lewis , loan_6 , 25000 , 105750 , 4.23 , 2
George Lewis , loan_7 , 25000 , 64750 , 2.59 , 1
George Lewis , loan_8 , 25000 , 76500 , 3.06 , 1
George Lewis , loan_9 , 25000 , 53750 , 2.15 , 0
George Lewis , loan_10 , 25000 , 48750 , 1.95 , 1
George Lewis , loan_11 , 25000 , 89250 , 3.57 , 0
George Lewis , loan_12 , 25000 , 85500 , 3.42 , 5
George Lewis , loan_13 , 25000 , 48000 , 1.92 , 5
George Lewis , loan_14 , 25000 , 51000 , 2.04 , 3
George Lewis , loan_15 , 25000 , 117000 , 4.68 , 3
George Lewis , loan_16 , 25000 , 64750 , 2.59 , 3
George Lewis , loan_17 , 25000 , 60000 , 2.4 , 2
George Lewis , loan_18 , 25000 , 49000 , 1.96 , 0
Freya Lewis , loan_1 , 21000 , 27720 , 1.32 , 0
Freya Lewis , loan_2 , 21000 , 37800 , 1.8 , 2
Freya Lewis , loan_3 , 21000 , 26040 , 1.24 , 0
Freya Lewis , loan_4 , 21000 , 52500 , 2.5 , 3
Freya Lewis , loan_5 , 21000 , 78540 , 3.74 , 0
Freya Lewis , loan_6 , 21000 , 58800 , 2.8 , 2
Freya Lewis , loan_7 , 21000 , 17640 , 0.84 , 0
Freya Lewis , loan_8 , 21000 , 29400 , 1.4 , 0
Freya Lewis , loan_9 , 21000 , 45360 , 2.16 , 3
Freya Lewis , loan_10 , 21000 , 39690 , 1.89 , 3
Freya Lewis , loan_11 , 21000 , 18480 , 0.88 , 0
Freya Lewis , loan_12 , 21000 , 80850 , 3.85 , 3
Freya Lewis , loan_13 , 21000 , 27720 , 1.32 , 1
Freya Lewis , loan_14 , 21000 , 26250 , 1.25 , 1
Freya Lewis , loan_15 , 21000 , 34650 , 1.65 , 1
Freya Lewis , loan_16 , 21000 , 19320 , 0.92 , 0
Freya Lewis , loan_17 , 21000 , 28350 , 1.35 , 2
Freya Lewis , loan_18 , 21000 , 36960 , 1.76 , 3
Freya Lewis , loan_19 , 21000 , 31080 , 1.48 , 1
Ivy Chapman , loan_1 , 36000 , 129600 , 3.6 , 4
Ivy Chapman , loan_2 , 36000 , 126000 , 3.5 , 1
Ivy Chapman , loan_3 , 36000 , 205920 , 5.72 , 9
Ivy Chapman , loan_4 , 36000 , 133560 , 3.71 , 2
Ivy Chapman , loan_5 , 36000 , 106560 , 2.96 , 2
Ivy Chapman , loan_6 , 36000 , 168480 , 4.68 , 3
Ivy Chapman , loan_7 , 36000 , 136080 , 3.78 , 2
Ivy Chapman , loan_8 , 36000 , 116640 , 3.24 , 1
Ivy Chapman , loan_9 , 36000 , 138600 , 3.85 , 4
Ivy Chapman , loan_10 , 36000 , 162360 , 4.51 , 5
Ivy Chapman , loan_11 , 36000 , 170280 , 4.73 , 0
Ivy Chapman , loan_12 , 36000 , 211680 , 5.88 , 7
Ivy Chapman , loan_13 , 36000 , 154440 , 4.29 , 5
Finley Baker , loan_1 , 37000 , 93240 , 2.52 , 0
Finley Baker , loan_2 , 37000 , 163170 , 4.41 , 2
Finley Baker , loan_3 , 37000 , 81400 , 2.2 , 1
Finley Baker , loan_4 , 37000 , 192400 , 5.2 , 2
Finley Baker , loan_5 , 37000 , 60680 , 1.64 , 2
Finley Baker , loan_6 , 37000 , 82140 , 2.22 , 5
Finley Baker , loan_7 , 37000 , 183150 , 4.95 , 4
Finley Baker , loan_8 , 37000 , 63640 , 1.72 , 1
Finley Baker , loan_9 , 37000 , 213120 , 5.76 , 5
Finley Baker , loan_10 , 37000 , 81400 , 2.2 , 3
Finley Baker , loan_11 , 37000 , 51800 , 1.4 , 2
Finley Baker , loan_12 , 37000 , 57720 , 1.56 , 1
Finley Baker , loan_13 , 37000 , 79550 , 2.15 , 2
Finley Baker , loan_14 , 37000 , 106560 , 2.88 , 4
Finley Baker , loan_15 , 37000 , 150960 , 4.08 , 4
Finley Baker , loan_16 , 37000 , 98420 , 2.66 , 5
Finley Baker , loan_17 , 37000 , 136530 , 3.69 , 0
Finley Baker , loan_18 , 37000 , 72520 , 1.96 , 2
Finley Baker , loan_19 , 37000 , 84360 , 2.28 , 4
Finley Baker , loan_20 , 37000 , 151700 , 4.1 , 5
Theodore Allen , loan_1 , 22000 , 122760 , 5.58 , 6
Theodore Allen , loan_2 , 22000 , 152460 , 6.93 , 5
Theodore Allen , loan_3 , 22000 , 112860 , 5.13 , 5
Theodore Allen , loan_4 , 22000 , 46640 , 2.12 , 1
Theodore Allen , loan_5 , 22000 , 116600 , 5.3 , 6
Theodore Allen , loan_6 , 22000 , 109120 , 4.96 , 5
Theodore Allen , loan_7 , 22000 , 134200 , 6.1 , 7
Theodore Allen , loan_8 , 22000 , 91520 , 4.16 , 7
Theodore Allen , loan_9 , 22000 , 64900 , 2.95 , 2
Theodore Allen , loan_10 , 22000 , 150480 , 6.84 , 6
Theodore Allen , loan_11 , 22000 , 100320 , 4.56 , 3
Theodore Allen , loan_12 , 22000 , 130680 , 5.94 , 3
Theodore Allen , loan_13 , 22000 , 154880 , 7.04 , 6
Theodore Allen , loan_14 , 22000 , 105600 , 4.8 , 8
Theodore Allen , loan_15 , 22000 , 66000 , 3.0 , 4
Arthur Robinson , loan_1 , 32000 , 74880 , 2.34 , 1
Arthur Robinson , loan_2 , 32000 , 49600 , 1.55 , 2
Arthur Robinson , loan_3 , 32000 , 35200 , 1.1 , 0
Arthur Robinson , loan_4 , 32000 , 64960 , 2.03 , 1
Arthur Robinson , loan_5 , 32000 , 76160 , 2.38 , 0
Arthur Robinson , loan_6 , 32000 , 43200 , 1.35 , 0
Arthur Robinson , loan_7 , 32000 , 51200 , 1.6 , 0
Arthur Robinson , loan_8 , 32000 , 85120 , 2.66 , 3
Arthur Robinson , loan_9 , 32000 , 53760 , 1.68 , 5
Arthur Robinson , loan_10 , 32000 , 26880 , 0.84 , 0
Arthur Robinson , loan_11 , 32000 , 43520 , 1.36 , 1
Arthur Robinson , loan_12 , 32000 , 142080 , 4.44 , 2
Arthur Robinson , loan_13 , 32000 , 138240 , 4.32 , 3
Arthur Robinson , loan_14 , 32000 , 71040 , 2.22 , 0
Arthur Robinson , loan_15 , 32000 , 55680 , 1.74 , 1
Arthur Robinson , loan_16 , 32000 , 25600 , 0.8 , 1
Arthur Robinson , loan_17 , 32000 , 112320 , 3.51 , 0
Arthur Robinson , loan_18 , 32000 , 36800 , 1.15 , 2
Arthur Robinson , loan_19 , 32000 , 57600 , 1.8 , 2
Theo Stevens , loan_1 , 34000 , 111860 , 3.29 , 4
Theo Stevens , loan_2 , 34000 , 197200 , 5.8 , 5
Theo Stevens , loan_3 , 34000 , 165920 , 4.88 , 15
Theo Stevens , loan_4 , 34000 , 136000 , 4.0 , 5
Theo Stevens , loan_5 , 34000 , 93500 , 2.75 , 1
Theo Stevens , loan_6 , 34000 , 65280 , 1.92 , 0
Theo Stevens , loan_7 , 34000 , 105400 , 3.1 , 2
Theo Stevens , loan_8 , 34000 , 136000 , 4.0 , 4
Theo Stevens , loan_9 , 34000 , 73440 , 2.16 , 3
Theo Stevens , loan_10 , 34000 , 163200 , 4.8 , 3
Theo Stevens , loan_11 , 34000 , 163200 , 4.8 , 2
Theo Stevens , loan_12 , 34000 , 221000 , 6.5 , 7
Theo Stevens , loan_13 , 34000 , 116280 , 3.42 , 4
Theo Stevens , loan_14 , 34000 , 204000 , 6.0 , 6
Theo Stevens , loan_15 , 34000 , 216920 , 6.38 , 6
Theo Stevens , loan_16 , 34000 , 137700 , 4.05 , 2
Theo Stevens , loan_17 , 34000 , 160480 , 4.72 , 6
Henry Lewis , loan_1 , 20000 , 46000 , 2.3 , 2
Henry Lewis , loan_2 , 20000 , 151200 , 7.56 , 11
Henry Lewis , loan_3 , 20000 , 127600 , 6.38 , 6
Henry Lewis , loan_4 , 20000 , 42400 , 2.12 , 5
Henry Lewis , loan_5 , 20000 , 52000 , 2.6 , 3
Henry Lewis , loan_6 , 20000 , 116600 , 5.83 , 6
Henry Lewis , loan_7 , 20000 , 56400 , 2.82 , 4
Henry Lewis , loan_8 , 20000 , 50000 , 2.5 , 1
Henry Lewis , loan_9 , 20000 , 44800 , 2.24 , 3
Henry Lewis , loan_10 , 20000 , 118000 , 5.9 , 8
Henry Lewis , loan_11 , 20000 , 39200 , 1.96 , 10
Henry Lewis , loan_12 , 20000 , 100800 , 5.04 , 1
Henry Lewis , loan_13 , 20000 , 44800 , 2.24 , 0
Henry Lewis , loan_14 , 20000 , 108000 , 5.4 , 3
Henry Lewis , loan_15 , 20000 , 108000 , 5.4 , 6
Henry Lewis , loan_16 , 20000 , 70800 , 3.54 , 6
Henry Lewis , loan_17 , 20000 , 102600 , 5.13 , 8
Charlie Owen , loan_1 , 51000 , 270810 , 5.31 , 2
Charlie Owen , loan_2 , 51000 , 298350 , 5.85 , 7
Charlie Owen , loan_3 , 51000 , 114240 , 2.24 , 0
Charlie Owen , loan_4 , 51000 , 130560 , 2.56 , 0
Charlie Owen , loan_5 , 51000 , 221340 , 4.34 , 3
Charlie Owen , loan_6 , 51000 , 285600 , 5.6 , 13
Charlie Owen , loan_7 , 51000 , 155550 , 3.05 , 1
Charlie Owen , loan_8 , 51000 , 135150 , 2.65 , 1
Charlie Owen , loan_9 , 51000 , 261630 , 5.13 , 1
Charlie Owen , loan_10 , 51000 , 112200 , 2.2 , 1
Charlie Owen , loan_11 , 51000 , 155550 , 3.05 , 4
Charlie Owen , loan_12 , 51000 , 206550 , 4.05 , 5
Charlie Owen , loan_13 , 51000 , 153000 , 3.0 , 1
Charlie Owen , loan_14 , 51000 , 174930 , 3.43 , 3
Charlie Owen , loan_15 , 51000 , 234600 , 4.6 , 6
Charlie Owen , loan_16 , 51000 , 93840 , 1.84 , 1
Charlie Owen , loan_17 , 51000 , 290700 , 5.7 , 6
Charlie Owen , loan_18 , 51000 , 196350 , 3.85 , 1
Charlie Owen , loan_19 , 51000 , 212160 , 4.16 , 5
Evelyn Adams , loan_1 , 47000 , 210560 , 4.48 , 2
Evelyn Adams , loan_2 , 47000 , 157920 , 3.36 , 6
Evelyn Adams , loan_3 , 47000 , 200690 , 4.27 , 4
Evelyn Adams , loan_4 , 47000 , 117500 , 2.5 , 4
Evelyn Adams , loan_5 , 47000 , 289520 , 6.16 , 1
Evelyn Adams , loan_6 , 47000 , 258500 , 5.5 , 3
Evelyn Adams , loan_7 , 47000 , 344040 , 7.32 , 15
Evelyn Adams , loan_8 , 47000 , 108100 , 2.3 , 5
Evelyn Adams , loan_9 , 47000 , 118440 , 2.52 , 1
Evelyn Adams , loan_10 , 47000 , 124550 , 2.65 , 0
Evelyn Adams , loan_11 , 47000 , 105280 , 2.24 , 3
Evelyn Adams , loan_12 , 47000 , 197400 , 4.2 , 9
Evelyn Adams , loan_13 , 47000 , 305500 , 6.5 , 5
Evelyn Adams , loan_14 , 47000 , 332760 , 7.08 , 1
Evelyn Adams , loan_15 , 47000 , 154630 , 3.29 , 4
Evelyn Adams , loan_16 , 47000 , 236880 , 5.04 , 7
Evelyn Adams , loan_17 , 47000 , 235000 , 5.0 , 4
Isaac Owen , loan_1 , 49000 , 90160 , 1.84 , 1
Isaac Owen , loan_2 , 49000 , 75950 , 1.55 , 2
Isaac Owen , loan_3 , 49000 , 82320 , 1.68 , 1
Isaac Owen , loan_4 , 49000 , 52920 , 1.08 , 0
Isaac Owen , loan_5 , 49000 , 164640 , 3.36 , 1
Isaac Owen , loan_6 , 49000 , 176400 , 3.6 , 1
Isaac Owen , loan_7 , 49000 , 191100 , 3.9 , 1
Isaac Owen , loan_8 , 49000 , 91140 , 1.86 , 0
Isaac Owen , loan_9 , 49000 , 93100 , 1.9 , 1
Isaac Owen , loan_10 , 49000 , 167580 , 3.42 , 0
Isaac Owen , loan_11 , 49000 , 123480 , 2.52 , 2
Isaac Owen , loan_12 , 49000 , 64680 , 1.32 , 0
Isaac Owen , loan_13 , 49000 , 91140 , 1.86 , 1
Isaac Owen , loan_14 , 49000 , 105840 , 2.16 , 2
Isaac Owen , loan_15 , 49000 , 204820 , 4.18 , 2
Isaac Owen , loan_16 , 49000 , 85750 , 1.75 , 0
Isaac Owen , loan_17 , 49000 , 113680 , 2.32 , 1
Oscar Stevens , loan_1 , 56000 , 184800 , 3.3 , 10
Oscar Stevens , loan_2 , 56000 , 307440 , 5.49 , 4
Oscar Stevens , loan_3 , 56000 , 277200 , 4.95 , 6
Oscar Stevens , loan_4 , 56000 , 369600 , 6.6 , 4
Oscar Stevens , loan_5 , 56000 , 241920 , 4.32 , 3
Oscar Stevens , loan_6 , 56000 , 277200 , 4.95 , 4
Oscar Stevens , loan_7 , 56000 , 196000 , 3.5 , 4
Oscar Stevens , loan_8 , 56000 , 243040 , 4.34 , 2
Oscar Stevens , loan_9 , 56000 , 396480 , 7.08 , 9
Oscar Stevens , loan_10 , 56000 , 141120 , 2.52 , 4
Oscar Stevens , loan_11 , 56000 , 369600 , 6.6 , 4
Oscar Stevens , loan_12 , 56000 , 176400 , 3.15 , 6
Oscar Stevens , loan_13 , 56000 , 226800 , 4.05 , 2
Oscar Stevens , loan_14 , 56000 , 383040 , 6.84 , 8
Ella White , loan_1 , 50000 , 144000 , 2.88 , 0
Ella White , loan_2 , 50000 , 82500 , 1.65 , 0
Ella White , loan_3 , 50000 , 192500 , 3.85 , 4
Ella White , loan_4 , 50000 , 166500 , 3.33 , 2
Ella White , loan_5 , 50000 , 62000 , 1.24 , 0
Ella White , loan_6 , 50000 , 140000 , 2.8 , 0
Ella White , loan_7 , 50000 , 166500 , 3.33 , 2
Ella White , loan_8 , 50000 , 69000 , 1.38 , 0
Ella White , loan_9 , 50000 , 115500 , 2.31 , 2
Ella White , loan_10 , 50000 , 162000 , 3.24 , 1
Ella White , loan_11 , 50000 , 66000 , 1.32 , 0
Ella White , loan_12 , 50000 , 81000 , 1.62 , 1
Ella White , loan_13 , 50000 , 100000 , 2.0 , 0
Ella White , loan_14 , 50000 , 136000 , 2.72 , 0
Ella White , loan_15 , 50000 , 77000 , 1.54 , 1
Ella White , loan_16 , 50000 , 73500 , 1.47 , 0
Ella White , loan_17 , 50000 , 87500 , 1.75 , 0
Ella White , loan_18 , 50000 , 94500 , 1.89 , 1
Grace Adams , loan_1 , 42000 , 94080 , 2.24 , 2
Grace Adams , loan_2 , 42000 , 85680 , 2.04 , 3
Grace Adams , loan_3 , 42000 , 40320 , 0.96 , 0
Grace Adams , loan_4 , 42000 , 101640 , 2.42 , 2
Grace Adams , loan_5 , 42000 , 67200 , 1.6 , 1
Grace Adams , loan_6 , 42000 , 100800 , 2.4 , 1
Grace Adams , loan_7 , 42000 , 33600 , 0.8 , 0
Grace Adams , loan_8 , 42000 , 75600 , 1.8 , 2
Grace Adams , loan_9 , 42000 , 105840 , 2.52 , 0
Grace Adams , loan_10 , 42000 , 67200 , 1.6 , 0
Grace Adams , loan_11 , 42000 , 102900 , 2.45 , 2
Grace Adams , loan_12 , 42000 , 102060 , 2.43 , 1
Grace Adams , loan_13 , 42000 , 63840 , 1.52 , 0
Grace Adams , loan_14 , 42000 , 106260 , 2.53 , 0
Grace Adams , loan_15 , 42000 , 77700 , 1.85 , 0
Grace Adams , loan_16 , 42000 , 33600 , 0.8 , 1
Grace Adams , loan_17 , 42000 , 48720 , 1.16 , 1
Grace Adams , loan_18 , 42000 , 130200 , 3.1 , 1
Grace Adams , loan_19 , 42000 , 50400 , 1.2 , 1
Grace Adams , loan_20 , 42000 , 170940 , 4.07 , 1
George Stevens , loan_1 , 68000 , 220320 , 3.24 , 1
George Stevens , loan_2 , 68000 , 110160 , 1.62 , 0
George Stevens , loan_3 , 68000 , 76160 , 1.12 , 1
George Stevens , loan_4 , 68000 , 251600 , 3.7 , 3
George Stevens , loan_5 , 68000 , 163200 , 2.4 , 0
George Stevens , loan_6 , 68000 , 176800 , 2.6 , 0
George Stevens , loan_7 , 68000 , 147560 , 2.17 , 1
George Stevens , loan_8 , 68000 , 180880 , 2.66 , 0
George Stevens , loan_9 , 68000 , 206720 , 3.04 , 2
George Stevens , loan_10 , 68000 , 238000 , 3.5 , 0
George Stevens , loan_11 , 68000 , 159120 , 2.34 , 0
George Stevens , loan_12 , 68000 , 102000 , 1.5 , 0
George Stevens , loan_13 , 68000 , 171360 , 2.52 , 0
George Stevens , loan_14 , 68000 , 87040 , 1.28 , 0
George Stevens , loan_15 , 68000 , 171360 , 2.52 , 2
George Stevens , loan_16 , 68000 , 73440 , 1.08 , 0
George Stevens , loan_17 , 68000 , 216920 , 3.19 , 0
George Stevens , loan_18 , 68000 , 166600 , 2.45 , 1
George Black , loan_1 , 42000 , 258720 , 6.16 , 5
George Black , loan_2 , 42000 , 82320 , 1.96 , 2
George Black , loan_3 , 42000 , 152880 , 3.64 , 2
George Black , loan_4 , 42000 , 243600 , 5.8 , 5
George Black , loan_5 , 42000 , 191100 , 4.55 , 8
George Black , loan_6 , 42000 , 252000 , 6.0 , 1
George Black , loan_7 , 42000 , 198240 , 4.72 , 6
George Black , loan_8 , 42000 , 300300 , 7.15 , 4
George Black , loan_9 , 42000 , 128100 , 3.05 , 2
George Black , loan_10 , 42000 , 204960 , 4.88 , 3
George Black , loan_11 , 42000 , 191100 , 4.55 , 2
George Black , loan_12 , 42000 , 317520 , 7.56 , 9
George Black , loan_13 , 42000 , 292320 , 6.96 , 13
George Black , loan_14 , 42000 , 156240 , 3.72 , 1
George Black , loan_15 , 42000 , 226800 , 5.4 , 8
Arlo Webb , loan_1 , 40000 , 169200 , 4.23 , 1
Arlo Webb , loan_2 , 40000 , 230400 , 5.76 , 5
Arlo Webb , loan_3 , 40000 , 137600 , 3.44 , 4
Arlo Webb , loan_4 , 40000 , 158400 , 3.96 , 6
Arlo Webb , loan_5 , 40000 , 115200 , 2.88 , 6
Arlo Webb , loan_6 , 40000 , 124800 , 3.12 , 1
Arlo Webb , loan_7 , 40000 , 228800 , 5.72 , 1
Arlo Webb , loan_8 , 40000 , 70000 , 1.75 , 0
Arlo Webb , loan_9 , 40000 , 72000 , 1.8 , 2
Arlo Webb , loan_10 , 40000 , 188000 , 4.7 , 5
Arlo Webb , loan_11 , 40000 , 98400 , 2.46 , 4
Arlo Webb , loan_12 , 40000 , 172800 , 4.32 , 0
Arlo Webb , loan_13 , 40000 , 198000 , 4.95 , 9
Arlo Webb , loan_14 , 40000 , 120400 , 3.01 , 1
Arlo Webb , loan_15 , 40000 , 100800 , 2.52 , 2
Arlo Webb , loan_16 , 40000 , 200000 , 5.0 , 4
Evie Matthews , loan_1 , 61000 , 209230 , 3.43 , 1
Evie Matthews , loan_2 , 61000 , 204960 , 3.36 , 1
Evie Matthews , loan_3 , 61000 , 150060 , 2.46 , 1
Evie Matthews , loan_4 , 61000 , 213500 , 3.5 , 4
Evie Matthews , loan_5 , 61000 , 342210 , 5.61 , 4
Evie Matthews , loan_6 , 61000 , 308660 , 5.06 , 3
Evie Matthews , loan_7 , 61000 , 258030 , 4.23 , 4
Evie Matthews , loan_8 , 61000 , 252540 , 4.14 , 4
Evie Matthews , loan_9 , 61000 , 261690 , 4.29 , 5
Evie Matthews , loan_10 , 61000 , 256200 , 4.2 , 2
Evie Matthews , loan_11 , 61000 , 292800 , 4.8 , 4
Evie Matthews , loan_12 , 61000 , 175680 , 2.88 , 1
Evie Matthews , loan_13 , 61000 , 193980 , 3.18 , 0
Evie Matthews , loan_14 , 61000 , 225090 , 3.69 , 0
Evie Matthews , loan_15 , 61000 , 234850 , 3.85 , 6
Grace Black , loan_1 , 45000 , 96750 , 2.15 , 0
Grace Black , loan_2 , 45000 , 220500 , 4.9 , 1
Grace Black , loan_3 , 45000 , 257400 , 5.72 , 3
Grace Black , loan_4 , 45000 , 217800 , 4.84 , 2
Grace Black , loan_5 , 45000 , 123750 , 2.75 , 2
Grace Black , loan_6 , 45000 , 126000 , 2.8 , 0
Grace Black , loan_7 , 45000 , 129150 , 2.87 , 8
Grace Black , loan_8 , 45000 , 189000 , 4.2 , 4
Grace Black , loan_9 , 45000 , 193500 , 4.3 , 3
Grace Black , loan_10 , 45000 , 86400 , 1.92 , 1
Grace Black , loan_11 , 45000 , 85500 , 1.9 , 1
Grace Black , loan_12 , 45000 , 193500 , 4.3 , 6
Grace Black , loan_13 , 45000 , 242550 , 5.39 , 9
Grace Black , loan_14 , 45000 , 113400 , 2.52 , 2
Grace Black , loan_15 , 45000 , 170100 , 3.78 , 2
Isabella Allen , loan_1 , 53000 , 200340 , 3.78 , 4
Isabella Allen , loan_2 , 53000 , 338140 , 6.38 , 6
Isabella Allen , loan_3 , 53000 , 305280 , 5.76 , 12
Isabella Allen , loan_4 , 53000 , 156350 , 2.95 , 4
Isabella Allen , loan_5 , 53000 , 271890 , 5.13 , 4
Isabella Allen , loan_6 , 53000 , 237440 , 4.48 , 5
Isabella Allen , loan_7 , 53000 , 192920 , 3.64 , 5
Isabella Allen , loan_8 , 53000 , 164300 , 3.1 , 5
Isabella Allen , loan_9 , 53000 , 200340 , 3.78 , 9
Isabella Allen , loan_10 , 53000 , 193980 , 3.66 , 1
Isabella Allen , loan_11 , 53000 , 241680 , 4.56 , 3
Isabella Allen , loan_12 , 53000 , 185500 , 3.5 , 4
Isabella Allen , loan_13 , 53000 , 355630 , 6.71 , 6
Isabella Allen , loan_14 , 53000 , 103880 , 1.96 , 2
Isabella Allen , loan_15 , 53000 , 349800 , 6.6 , 6
Isabella Allen , loan_16 , 53000 , 276660 , 5.22 , 3
Isabella Allen , loan_17 , 53000 , 135680 , 2.56 , 2
Theodore Matthews , loan_1 , 48000 , 70560 , 1.47 , 2
Theodore Matthews , loan_2 , 48000 , 126720 , 2.64 , 0
Theodore Matthews , loan_3 , 48000 , 103680 , 2.16 , 0
Theodore Matthews , loan_4 , 48000 , 74880 , 1.56 , 0
Theodore Matthews , loan_5 , 48000 , 211200 , 4.4 , 2
Theodore Matthews , loan_6 , 48000 , 130560 , 2.72 , 0
